"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)"
394.7,0.600608567941,394.7,0.598164492256,394.7,0.59963214313,394.7,0.59908377203,394.7,0.59992011902,394.7,0.599856412604
395.4,0.559485503929,395.4,0.555565117876,395.4,0.559577210651,395.4,0.558957122148,395.4,0.557904402228,395.4,0.559968566415
396,0.38750030518,396,0.384872358282,396,0.38615537499,396,0.384995117113,396,0.387227664607,396,0.387096055543
396.7,0.355364805066,396.7,0.351551232166,396.7,0.352146829938,396.7,0.354065842679,396.7,0.354670252537,396.7,0.354141145953
397.3,0.59595990692,397.3,0.589891050584,397.3,0.593050164034,397.3,0.593646982528,397.3,0.593085603113,397.3,0.592610666056
398,0.73642683299,398,0.728404821851,398,0.732869344625,398,0.734263447013,398,0.733576943618,398,0.736764171817
398.6,0.787350003815,398.6,0.783228961624,398.6,0.783895513848,398.6,0.78653322652,398.6,0.784460440986,398.6,0.786776379034
399.3,0.80060093843,399.3,0.793743953613,399.3,0.797804875257,399.3,0.798217822538,399.3,0.798460593576,399.3,0.798576943618
399.9,0.813730563821,399.9,0.804644998856,399.9,0.808381666285,399.9,0.808362783246,399.9,0.810697566186,399.9,0.812112458991
400.5,0.830938925765,400.5,0.823090867475,400.5,0.826781757839,400.5,0.826523308156,400.5,0.828758144503,400.5,0.828518196384
401.2,0.854192912184,401.2,0.848137026017,401.2,0.85002964065,401.2,0.851464942397,401.2,0.851847333486,401.2,0.853060044251
401.8,0.843676394293,401.8,0.838261387045,401.8,0.84095662623,401.8,0.839567483024,401.8,0.840326009003,401.8,0.842844129091
402.5,0.815573090715,402.5,0.809520256352,402.5,0.813460631724,402.5,0.815240024414,402.5,0.811848859388,402.5,0.816307164111
403.1,0.8072004654,403.1,0.800335851072,403.1,0.806249217975,403.1,0.80434508278,403.1,0.806109178302,403.1,0.807533989471
403.8,0.796165140764,403.8,0.788238498512,403.8,0.792941824979,403.8,0.793600442512,403.8,0.79342511635,403.8,0.797166247044
404.4,0.783178950179,404.4,0.777649500267,404.4,0.780875753414,404.4,0.779578927291,404.4,0.781140077821,404.4,0.783622339208
405.1,0.780844319829,405.1,0.772170748455,405.1,0.77660093843,405.1,0.77737628748,405.1,0.777035400931,405.1,0.779165178912
405.7,0.753400205997,405.7,0.747194018463,405.7,0.751586060883,405.7,0.75182200351,405.7,0.749266269932,405.7,0.753624628061
406.4,0.77160421912,406.4,0.762710154879,406.4,0.767957465476,406.4,0.768950255589,406.4,0.764907530327,406.4,0.767685816739
407,0.782927939269,407,0.776294499123,407,0.780211985962,407,0.779650644694,407,0.781359807736,407,0.78062012665
407.7,0.830354505226,407.7,0.822418707561,407.7,0.826488784619,407.7,0.82580155642,407.7,0.825243228809,407.7,0.83004180972
