"Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)","Run 6: Wavelength (nm)","Run 6: Intensity (rel)"
438.1,0.0161462958724,438.1,0.0164213015946,438.1,0.0181663233387,438.1,0.0271511024643,438.1,0.0551018539712,438.1,0.129578088045
438.7,0.0164331654841,438.7,0.0154477759976,438.7,0.0184097047379,438.7,0.0242007705806,438.7,0.0533775844968,438.7,0.123810177768
439.4,0.0152734798199,439.4,0.0152211795224,439.4,0.0154448767834,439.4,0.0145349431601,439.4,0.030748455024,439.4,0.0935973144121
440.1,0.0158556115053,440.1,0.0160962844282,440.1,0.0169723048753,440.1,0.0224230945296,440.1,0.0513176165408,440.1,0.13107347219
440.7,0.0162050431067,440.7,0.0155179674983,440.7,0.0177627222095,440.7,0.0242137407492,440.7,0.0725429159991,440.7,0.198014801251
441.4,0.0160066758221,441.4,0.0155194934005,441.4,0.0154570840009,441.4,0.0163431372549,441.4,0.0568871595331,441.4,0.159195849546
442.1,0.0158189898528,442.1,0.01616723888,442.1,0.0169547570001,442.1,0.0199579995422,442.1,0.0516227969787,442.1,0.126923018235
442.7,0.0155740825513,442.7,0.0152234683757,442.7,0.0172233157855,442.7,0.0210024795911,442.7,0.0492881666285,442.7,0.112976272221
443.4,0.0152833981842,443.4,0.0160825513085,443.4,0.0171035324636,443.4,0.0214114213779,443.4,0.0493492027161,443.4,0.124588387884
444.1,0.0162904936294,444.1,0.0154584573129,444.1,0.0158767071031,444.1,0.0170008010986,444.1,0.049074540322,444.1,0.143921568627
444.7,0.0157419317922,444.7,0.015917753872,444.7,0.0161689173724,444.7,0.0169893568322,444.7,0.0514244296941,444.7,0.150131990539
445.4,0.0159273289082,445.4,0.0156545357443,445.4,0.0169402609293,445.4,0.0247775616083,445.4,0.0668360418097,445.4,0.163254749371
446.1,0.0158113603418,446.1,0.0154157320516,446.1,0.0174377050431,446.1,0.0229174868391,446.1,0.0515312428473,446.1,0.128052185855
446.7,0.0159921797513,446.7,0.015845273518,446.7,0.0150809491112,446.7,0.0135499732967,446.7,0.0328999771115,446.7,0.0950621805142
447.4,0.015345960174,447.4,0.0164739452201,447.4,0.0172767223621,447.4,0.0235782024872,447.4,0.0527824826429,447.4,0.128204776074
448.1,0.0154367513542,448.1,0.0158170443275,448.1,0.0160300602731,448.1,0.0191698710613,448.1,0.0564141298543,448.1,0.148468757153
448.7,0.0164736018921,448.7,0.0158391699092,448.7,0.0185180437934,448.7,0.0253230716411,448.7,0.066347753109,448.7,0.166001373312
449.4,0.016118829633,449.4,0.0159055466545,449.4,0.0181670862898,449.4,0.0235888838025,449.4,0.0601678492409,449.4,0.153977264057
450.1,0.0152864499886,450.1,0.0156385137713,450.1,0.0151335927367,450.1,0.0157213321126,450.1,0.0394155794614,450.1,0.10363775082
450.8,0.0158464560922,450.8,0.0152761120012,450.8,0.016495460441,450.8,0.0184389639124,450.8,0.0439169909209,450.8,0.110244907301
451.4,0.015651903563,451.4,0.0160314335851,451.4,0.0151656366827,451.4,0.0164110399023,451.4,0.0362874799725,451.4,0.10275272755
452.1,0.0157747386893,452.1,0.0163472953384,452.1,0.0177398336767,452.1,0.0242022964828,452.1,0.0568719005112,452.1,0.125244525826
452.7,0.0158884184024,452.7,0.0154721904326,452.7,0.0163405813687,452.7,0.020149500267,452.7,0.0445273517967,452.7,0.117615014878
453.4,0.0152421988251,453.4,0.0150258640421,453.4,0.0165626001373,453.4,0.021564774548,453.4,0.0482352941176,453.4,0.114914168002
454.1,0.0156717402914,454.1,0.0157155718318,454.1,0.0168525215534,454.1,0.0193674753948,454.1,0.0428030823224,454.1,0.106094453346
454.7,0.0155565346761,454.7,0.0153371480888,454.7,0.0166106660563,454.7,0.0209414435035,454.7,0.0493797207599,454.7,0.123306630045
455.4,0.0158723964294,455.4,0.0157880521859,455.4,0.0170310521096,455.4,0.020415007248,455.4,0.0491813534752,455.4,0.121811245899
456.1,0.0156396963455,456.1,0.0162755779355,456.1,0.0177901884489,456.1,0.0238665980011,456.1,0.0606713969635,456.1,0.144287785153
456.7,0.0161234073396,456.7,0.0155164415961,456.7,0.0169974822614,456.7,0.02224914168,456.7,0.0636774242771,456.7,0.16783245594
457.4,0.0156236743725,457.4,0.0160932326238,457.4,0.0159667353323,457.4,0.0182726405737,457.4,0.0585351338979,457.4,0.159684138247
458.1,0.0156030746929,458.1,0.0161069657435,458.1,0.0164367132067,458.1,0.0172502861067,458.1,0.0419028000305,458.1,0.112533760586
458.7,0.0155298313878,458.7,0.0158223849851,458.7,0.0175887693599,458.7,0.0233813611048,458.7,0.0468619821469,458.7,0.0913847562371
459.4,0.0155992599374,459.4,0.0153089188983,459.4,0.0161948577096,459.4,0.0190333028153,459.4,0.0392019531548,459.4,0.0839078355077
460.1,0.0152528801404,460.1,0.0158155184253,460.1,0.016213931487,460.1,0.0190844205386,460.1,0.0405752651255,460.1,0.0930479896239
460.7,0.015523727779,460.7,0.0157582970932,460.7,0.0171989013504,460.7,0.0203776226444,460.7,0.0445883878843,460.7,0.100769054704
461.4,0.0156160448615,461.4,0.0157605859464,461.4,0.0168059815366,461.4,0.0200938048371,461.4,0.0535454337377,461.4,0.13557488365
462.1,0.016319485771,462.1,0.0165250629435,462.1,0.0175757991913,462.1,0.0225329594873,462.1,0.0715815976196,462.1,0.182145418479
462.7,0.0160501640345,462.7,0.0162648966201,462.7,0.0174041351949,462.7,0.0248942931258,462.7,0.0984832532235,462.7,0.256670481422
463.4,0.0160806820783,463.4,0.0161161211566,463.4,0.0168212405585,463.4,0.0193972304875,463.4,0.05911497673,463.4,0.145737392233
464.1,0.0159662394141,464.1,0.0150136568246,464.1,0.0161246662089,464.1,0.0184641412985,464.1,0.0417502098116,464.1,0.10017395285
464.7,0.0160211718929,464.7,0.015636224918,464.7,0.0184974441138,464.7,0.0271030365454,464.7,0.0550255588617,464.7,0.101120012207
465.4,0.0157961013199,465.4,0.0157361715114,465.4,0.0165336079957,465.4,0.020229610132,465.4,0.0399801632715,465.4,0.0913237201495
466.1,0.0156267261769,466.1,0.0162542153048,466.1,0.0169112687877,466.1,0.0213221560998,466.1,0.0435049973297,466.1,0.0967559319448
466.7,0.0156328297856,466.7,0.0155690852216,466.7,0.0160460822461,466.7,0.0198687342641,466.7,0.037248798352,466.7,0.0894316014343
467.4,0.0158647669184,467.4,0.0157239642939,467.4,0.0159667353323,467.4,0.0193224612802,467.4,0.0389272907607,467.4,0.0918883039597
468.1,0.0161943617914,468.1,0.0147969787137,468.1,0.0153884184024,468.1,0.0147355992981,468.1,0.0290547035935,468.1,0.0780788891432
468.7,0.0159647135119,468.7,0.0157834744793,468.7,0.0170676737621,468.7,0.0232936217288,468.7,0.0397817959869,468.7,0.0788570992599
469.4,0.0155412756542,469.4,0.0151319142443,469.4,0.015578393225,469.4,0.0163736552987,469.4,0.0281239032578,469.4,0.0539391165026
470.1,0.0151987106126,470.1,0.0161237506676,470.1,0.015626459144,470.1,0.015821278706,470.1,0.0278187228199,470.1,0.062896162356
470.7,0.0160074387732,470.7,0.0157926298924,470.7,0.0163703364614,470.7,0.0196902037079,470.7,0.0335408560311,470.7,0.0760646982528
471.4,0.0157175173571,471.4,0.015894102388,471.4,0.0170516517891,471.4,0.0214518577859,471.4,0.0424979018845,471.4,0.0905455100328
472.1,0.0155870527199,472.1,0.0156392767224,472.1,0.0161666285191,472.1,0.0200831235218,472.1,0.0398580910964,472.1,0.0908201724269
472.7,0.0160242236973,472.7,0.0156949721523,472.7,0.0156340886549,472.7,0.0173921950103,472.7,0.0322590981918,472.7,0.0586541542687
473.4,0.0156374074922,473.4,0.0152356755932,473.4,0.0160010681315,473.4,0.0174921416037,473.4,0.0317250324254,473.4,0.0584100099184
474.1,0.0159364843214,474.1,0.0158544289311,474.1,0.018136568246,474.1,0.0251910811017,474.1,0.0440238040742,474.1,0.0726161593042
